和子女王	And son queen 
澳大利亚原住民	Aboriginal Australians 
三凤制作有限公司	Sanfeng Production Co., Ltd. 
王稳卿	Wang Wenqing 
胡圣偶	Hu Shengou 
都会女孩纯情	City girl innocence 
卡洛斯四世	Carlos IV 
台北市立大学	Taipei City University 
中央财经领导小组	Central Finance and Economics Leading Group 
河西智美	Tomomi Kasai 
山西龙城至盛足球俱乐部	Shanxi Longcheng Zhisheng Football Club 
东仙台车站	Higashi Sendai Station 
ice-3列车	ice-3 train 
jp:グスタボ・サントス・コスタ	jp: Gustavo Santos Costa 
嶋大辅	Shima Daisuke 
达奇斯县_(纽约州)	Duchess County_(New York State) 
昆士兰自由国家党	Queensland Liberal National Party 
北京航空航天大学	Beijing University of Aeronautics and Astronautics 
智利陆军	Chilean Army 
朝鲜端宗	Joseon Duanjong 
幽灵女友	Ghost girlfriend 
非洲人国民大会青年联盟	African National Congress Youth League 
秋意在心中：爱是永恒	Autumn is in my heart: love is eternal 
大桥正博	Ohashi Masahiro 
广东外语外贸大学	Guangdong University of Foreign Studies 
北京奥组委	Beijing Olympic Organizing Committee 
英属维尔京群岛足球代表队	British Virgin Islands Football Team 
生产路－大学站	Production Road-University Station 
宗座个别教会委员会	Pontifical Individual Church Committee 
乌克兰希腊礼天主教圣母无玷始胎主教座堂	Ukrainian Greek Catholic Cathedral of the Immaculate Conception 
吴连惠	Wu Lianhui 
多重范式	Multiple paradigms 
马来西亚第11届国会议员列表	List of Members of the 11th Parliament of Malaysia 
黎敦义	Li Dunyi 
.uz	.to 
利奥五世	Leo V 
荒野新生	Wilderness Rebirth 
舰载垂直发射系统	Shipborne vertical launch system 
罗士敏男爵	Baron Luo Shimin 
格鲁吉亚苏维埃社会主义共和国国歌	National Anthem of the Georgian Soviet Socialist Republic 
雷诺方程式2.0欧洲杯	Formula Renault 2.0 European Cup 
小早川秀秋	Kobayakawa Hideaki 
李柏慧	Li Baihui 
约翰·霍普金斯大学应用物理实验室	Johns Hopkins University Applied Physics Laboratory 
布罗姆斯格罗夫_(英国国会选区)	Bromsgrove_(British Parliamentary District) 
因为你	because of you 
从四位	From four 
视频弹幕	Video barrage 
晶片音乐	Chip music 
大连实德	Dalian Shide 
平行宇宙	Parallel universe 
学警出更	School police 
品德优良奖章	Merit Medal 
后工业音乐	Post-industrial music 
张居仰	Zhang Juyang 
中国共产党第十三届中央纪律检查委员会	The 13th Central Commission for Discipline Inspection of the Communist Party of China 
纳尔逊伯爵	Earl of Nelson 
大道广幸	Dadao Hiroyuki 
德川宗武	Tokugawa Sotake 
汉诺威足球俱乐部	Hannover Football Club 
亚非国家杯	Asian and African Nations Cup 
姜国民	Jiang Guomin 
德铁线路	Deutsche Bahn 
伊莉莎白一世	Elizabeth I 
惟明亲王	Prince Weiming 
a.比列苏斯基	a. Villesuski 
焦耳-汤姆孙效应	Joule-Thomson effect 
玩纸牌的人	People playing cards 
威尔斯利学院	Wellesley College 
巴基斯坦国民议会	National Assembly of Pakistan 
牛津市议会	Oxford City Council 
伊朗里亚尔	Iranian Rial 
伯德金郡政府	Bird King County Government 
马木留克王朝	Mamluk Dynasty 
昭献贵妃	Zhaoxian noble concubine 
麦克斯韦-玻尔兹曼分布	Maxwell-Boltzmann distribution 
国内生产总值	GDP 
建州左卫	Jianzhou Zuowei 
法国u21	French u21 
芦竹机厂	Luzhu Machinery Factory 
公共专业联盟	Public Professional Alliance 
史柏灵－本拿比湖站	Spearling-Burnaby Lake Station 
乔治·凯夫，第一代凯夫子爵	George Cave, the first Viscount Cave 
理光运动场	Ricoh Stadium 
越南摇滚	Vietnamese rock 
陆孝彭	Lu Xiaopeng 
金有美	Kim Youmi 
第一国际	First International 
后垃圾	Post garbage 
不伦瑞克-贝韦恩	Brunswick-Bevern 
神风怪盗贞德	Kamikaze thief Joan of Arc 
八国联军之役	Battle of the Eight Nations 
欧洲冠军球会杯	UEFA Champions League Cup 
保加利亚国家银行	National Bank of Bulgaria 
迪纳摩体育场_(马哈奇卡拉)	Dynamo Stadium_ (Makhachkala) 
民主党_(1947年)	Democratic Party_ (1947) 
哈利·葛瑞森-威廉斯	Harry Greyson-Williams 
李力持	Li Lichi 
刘明祖	Liu Mingzu 
scream/childhood	scream/childhood 
赤色钢铁	Red Steel 
匈牙利历史	History of Hungary 
德国第2装甲军团	German 2nd Armored Corps 
黎巴嫩雪松	Lebanese Cedar 
乌兹别克足球甲级联赛	Uzbek Football League 
克莱斯勒集团	Chrysler Group 
曼托瓦及蒙费拉托爵位继承战争	War of Succession of Mantua and Monferrato 
行政院新闻局	Executive Yuan Information Bureau 
荷兰东印度公司	Dutch East India Company 
天神车站	Tenjin Station 
大石麻衣	Oishi Mai 
常德话	Changde 
法国宗教战争	French religious wars 
泊松方程	Poisson equation 
鹤野太贵	Tsuruno is too expensive 
闽语支	Min Branch 
摇滚小子	Rock boy 
钱瑟勒斯维尔战役	Battle of Chancellorsville 
牛津大学王后学院	Queens College, Oxford University 
拉让江	Rajangan 
李若彤	Li Ruotong 
水手8号	Mariner 8 
巴里足球俱乐部	Bari Football Club 
朱嘉宁	Zhu Jianing 
赵一德	Zhao Yide 
巴林独立日	Bahrain Independence Day 
法国二月革命	French February Revolution 
冯英伦	Feng Yinglun 
.sr	.sr 
塞尔维亚总理	Prime Minister of Serbia 
.tc	.tc 
万千星辉颁奖典礼	Thousands of Stars Awards Ceremony 
麦卡利斯达	McAllister 
巴西石油	Petrobras 
邹湘秦	Zou Xiangqin 
蒙哥马利县_(亚拉巴马州)	Montgomery County_ (Alabama) 
热带季风气候	tropical monsoon climate 
刚勇者埃德蒙	Edmund the Brave 
命令与征服：红色警戒2	Command and Conquer: Red Alert 2 
富士达前站	Fujita Front Station 
陆绮华	Lu Qihua 
新新闻主义	New journalism 
宁波博物馆	Ningbo Museum 
太平洋夏令时间	Pacific Daylight Time 
伊图诺足球会	Ituna Football Club 
汤汲哲也	Tetsuya Yukumi 
氟化氢	Hydrogen fluoride 
邮政总局局长	Director of the Post Office 
从五位	From five 
公共意志	Public will 
kbs音乐银行	kbs music bank 
富兰克林·德拉诺·罗斯福三世	Franklin Delano Roosevelt III 
缅甸国	Myanmar 
蓝牙规范	Bluetooth specification 
金久保顺	Kim Kubo Jun 
相马崇人	Takahito Soma 
智利天主教大学	Catholic University of Chile 
申嗔镐	Shin Ao Ho 
福斯互动	Flowserve Interactive 
灵答应	Spirit promised 
利比亚国旗	Libya flag 
新畑民子	Tamiko Shinhata 
欧弗兰战役	Battle of Overland 
罗蒂尔德_(秃头查理之女)	Rodilde_ (Daughter of Bald Charlie) 
2013年万千星辉颁奖典礼	2013 Thousands of Stars Awards Ceremony 
简单生活	simple life 
强木在	Strong tree in 
库尔德斯坦爱国联盟	Patriotic Union of Kurdistan 
漂亮男人	Pretty man 
中国时报集团	China Times Group 
增田卓也	Masuda Takuya 
dannic	dannic 
中国航天科技集团	China Aerospace Science and Technology Corporation 
庞丰月	Pang Fengyue 
袁贵妃_(明思宗)	Concubine Yuan Gui_(Ming Sizong) 
马来西亚标准时间	Malaysia Standard Time 
玛丽亚·特蕾莎_(奥地利-埃斯特)	Maria Theresa_ (Austria-Este) 
良纯入道亲王	Prince liangchun jindao 
西萨福克_(英国国会选区)	West Suffolk_ (British Parliamentary Constituency) 
李敏媛	Li Minyuan 
黄镇成	Huang Zhencheng 
另一个女人	Another woman 
玻璃市王室	Royal Family of Perlis 
电子游戏机历史_(第6世代)	History of electronic game consoles_ (6th generation) 
康德义务主义	Kantian Obligatory 
近代汉语	Modern Chinese 
食物及卫生局	Food and Health Bureau 
世宗大学	Sejong University 
高清翡翠台	HD Jade Terrace 
上三川町	Kaminokawa Town 
汉口文体中心	Hankou Cultural and Sports Center 
李韩道	Lee Hando 
王安顺	Wang Anshun 
查理-奥兰多，法兰西王太子	Charlie Orlando, Prince of France 
里窝那	Livorno 
光仁天皇	Emperor Mitsuhito 
中国人民解放军军事家	Military strategist of the Chinese People's Liberation Army 
兴山里	Xingshanli 
三阶段定律	Three-stage law 
星球大战系列游戏列表	List of Star Wars games 
王梓轩	Wang Zixuan 
孟加拉国人民联盟	Bangladesh people's union 
德国第1军团	German 1st Army 
.gp	.gp 
味之素球场	Ajinomoto Stadium 
纳戈尔诺-卡拉巴赫战争	Nagorno-Karabakh War 
剑桥大学悉尼·萨塞克斯学院	Sydney Sussex College, University of Cambridge 
于洋_(香港艺人)	Yu Yang_ (Hong Kong Artist) 
奥地利的伊丽莎白_(1526年-1545年)	Elizabeth of Austria (1526-1545) 
阿尔梅勒城足球俱乐部	Almere City Football Club 
瘸子洛泰尔	Cripple Lotaire 
信仰的骑士	Knight of faith 
秀答应	Show promised 
玩酷人生	Play cool life 
快速排序	Quick sort 
高校处世王	King of Colleges and Universities 
所罗门群岛元	Solomon Islands Dollar 
file:logo_ique.gif	file: logo_ique.gif 
波兰王后	Queen of Poland 
卡尔什特因城堡	Karlštejn Castle 
江川央生	Hisao Egawa 
古斯塔夫三世	Gustav III 
巴尔干战争	Balkan War 
冲坤陵园	Chongkun Cemetery 
田形皇女	Princess Takata 
都柏林邮政区号列表	List of Dublin postal codes 
舞力全开4_3d_(原声带)	Just Dance 4_3d_ (original soundtrack) 
谷口尚真	Takashi Taniguchi 
hp-ux	hp u x 
file:mate_icon.png	file:mate_icon.png 
阿尔巴尼亚足球协会	Albanian Football Association 
达吉斯坦战争	Dagestan War 
波兰自由联盟	Polish Freedom League 
建阳_(朝鲜高宗)	Jianyang_(Gojong, North Korea) 
沈寅豪	Shen Yinhao 
天主教阿伦德尔暨布莱顿教区	Catholic Diocese of Arundel and Brighton 
弗吉尼亚海滩	Virginia Beach 
风间_宏希	Kazama_Hongxi 
穆莱·拉希德王子	Prince Moulay Rashid 
作田裕次	Yuji Sakuda 
里尔都会区	Lille Metropolitan Area 
圣罗莎_(内湖省)	Santa Rosa_(Neihu Province) 
根特钟楼	Ghent Belfry 
基里尔_(莫斯科大牧首)	Kirill_ (Patriarch of Moscow) 
keilaniemi	show more 
中央军委主席	Chairman of the Central Military Commission 
typepad	typepad 
吕甜	Lu Tian 
板垣伴信	Itagaki Tomonobu 
小山内贵哉	Takaya Osanai 
那不勒斯费德里克二世大学	Federico II University of Naples 
法国－印第安人战争	French-Indian War 
goldsrc引擎	goldsrc engine 
义大利里拉	Italian Lira 
屋塔房王世子	Rooftop Prince 
虹桥综合交通枢纽	Hongqiao Integrated Transportation Hub 
朝融王	Chao Rong King 
时间三部曲	Time Trilogy 
银索金铃	Silver Suo Jin Ling 
周世宗	Zhou Shizong 
本能寺之变	Instinct Temple 
国务院部委管理的国家局	National Bureau of the State Council 
主业会	Main business 
卡迪·韦拿	Cardi Weiner 
重伤奖章	Serious Injury Medal 
侏罗纪公园：失落的世界	Jurassic Park: The Lost World 
国务院文化组	State Council Culture Group 
刘奕鸣	Liu Yiming 
阿方索八世_(卡斯蒂利亚)	Alfonso VIII_ (Castile) 
奥兰多海盗	Orlando Pirates 
诺贝尔文学奖	The Nobel Prize in Literature 
纯穆大院妃	Concubine Pure Mu 
奥林匹克体育场	Olympic Stadium 
嫩绿色	Tender green 
圣阿尔努修道院	St. Arnu Monastery 
列奥尼达一世	Leonidas I 
明安公主	Princess Ming An 
彭罗斯阶梯	Penrose Stairs 
玻利维亚天空航空杯	Bolivia Sky Air Cup 
哥德堡足球俱乐部	Gothenburg Football Club 
最终幻想iv	Final Fantasy IV 
塞尔维亚政党列表	List of Serbian political parties 
西班牙市镇列表	List of Spanish towns 
城际列车	Intercity train 
布衣神相	Commoner look 
八瑶湾事件	Ba Yao Bay Incident 
吉备中央町	Kibichuo Town 
稻津久	Inazuji 
何忠友	He Zhongyou 
德国外交部长	German Foreign Minister 
黑色洛城	Los Angeles 
乔治·威廉王子	Prince George William 
当代古典音乐	Contemporary classical music 
hjørring	hjørring 
肯亚国家元首列表	List of Kenyan Heads of State 
耶鲁大学法学院	Yale Law School 
刚果法郎	Congolese Franc 
爱因斯坦-波多尔斯基-罗森佯谬	Einstein-Podolsky-Rosen Paradox 
邓伟杰	Deng Weijie 
特斯拉电灯与制造公司	Tesla Electric Light and Manufacturing Company 
承子女王	The queen 
上海八万人体育场	Shanghai 80,000 Stadium 
妮奥米·瓦兹	Niomi Watts 
奥雷布洛体育俱乐部	Orebro Sports Club 
吸血鬼检察官	Vampire prosecutor 
宇喜也嘉	Uki Yeka 
elisra	Family 
地球同步转移轨道	Geosynchronous transfer orbit 
华东椴	East China Linden 
维格纳半圆分布	Wigner semicircle distribution 
郭永健	Guo Yongjian 
布罗伊公爵	Duke of Broy 
斯洛伐克足球乙级联赛	Slovak Football League Two 
威尔可合唱团	Wilco Chorus 
欧洲联盟委员会	European Commission 
瓦伦的阿达	Ada of Valen 
诺特海姆的richenza	Northeim's richenza 
小哈灵顿·伍德	Harrington Wood 
朱云来	Zhu Yunlai 
行政院文化建设委员会	Executive Yuan Cultural Construction Committee 
新北市立三重高级中学	New Taipei City Sanchong Senior High School 
春田纯一	Haruta Junichi 
大韩民国联合参谋本部	Joint Staff Headquarters of the Republic of Korea 
德川廿麻吕	Tokugawa Hatsumaro 
米底王国	Kingdom of Medes 
华沙莱吉亚	Warsaw Legia 
萧塔不烟	Xiao Ta does not smoke 
贝尔格拉诺竞技俱乐部	Belgrano Athletic Club 
皇室蓝	Royal blue 
民主力量联盟	League of Democratic Forces 
元敬王后	Queen Yuanjing 
天平感宝	Tianping Ganbao 
比高尔斯	Begoles 
贾辅义	Jia Fuyi 
科罗拉多州立大学	Colorado State University 
苏格兰的玛格丽特_(肯特伯爵夫人)	Margaret of Scotland (Countess of Kent) 
严和生	Yan Hesheng 
道旁引力电影公司	Roadside Gravity Film Company 
中北狭义班图语群	Bantu Group 
董其昌	Dong Qichang 
堪察加彼得巴甫洛夫斯克	Petropavlovsk-Kamchatsky 
张良任	Zhang Liangren 
奇怪的保姆	Strange babysitter 
和硕怀恪公主	Princess He Shuo Huai Ke 
坎特伯雷_(英国国会选区)	Canterbury_(British Parliamentary District) 
今归仁村	Nakijin Village 
汉娜·蒙塔娜_(第三季)	Hannah Montana_ (Season 3) 
爱你_(韩国电视剧)	Love You_ (Korean TV Drama) 
瑞典旧省	Old Swedish Province 
沙田新市镇	Shatin New Town 
马来西亚半岛	Peninsular Malaysia 
上里町	Kamisato Town 
建宁罗马字	Jianning Romaji 
王泛森	Wang Fansen 
北京控股	Beijing Enterprises 
新西兰立法会	New Zealand Legislative Council 
瓦尔津足球俱乐部	Varzin Football Club 
袁占亭	Yuan Zhanting 
李再勇	Li Zaiyong 
庆州金氏	Gyeongju Kim 
栗再温	Li Zaiwen 
女性人名	Female name 
旋律硬核	Melody Hardcore 
兵库县旗	Hyogo Prefecture Flag 
file:200px-just_love.jpg	file:200px-just_love.jpg 
庞维仁	Pang Weiren 
阿讷西体育公园	Annecy Sports Park 
老挝内战	Laos Civil War 
香港一百元纸币	Hong Kong One Hundred Dollar Notes 
客家话拼音方案	Hakka phonetic scheme 
全宝蓝	All Royal Blue 
詹姆斯·米尔斯_(乔治亚州政治人物)	James Mills_ (Georgia politician) 
宇城市	Uki City 
匈牙利劳动人民党	Hungarian working people's party 
根源摇滚	Root rock 
上海国泰君安永柏女子足球俱乐部	Shanghai Guotai Junan Yongbai Women's Football Club 
南极服役奖章	Antarctic Service Medal 
堀秀行	Hideyuki Hori 
沙特阿拉伯历史	History of Saudi Arabia 
芳川显	Yoshikawa Akira 
中世朝鲜语	Middle Age Korean 
中国共产党中央宣传部	Central Propaganda Department of the Communist Party of China 
中央民族大学	Central University for Nationalities 
劳动经济学	Labor Economics 
康宁大学	Corning University 
格兰治区_(昆士兰州)	Grande District_(Queensland) 
平川忠亮	Tadahiro Hirakawa 
崔廷汉	Cui Tinghan 
塞浦路斯的亨利二世	Henry II of Cyprus 
梅晋成	Mei Jincheng 
山口真司	Shinji Yamaguchi 
mafry_balang	mafry_balang 
印度地区	India area 
白崎凌兵	Ryohei Shirasaki 
釜山战役	Battle of Busan 
高旺亚马原住民郡政府	Kowang Yama Aboriginal County Government 
乔治布什洲际机场	George Bush Intercontinental Airport 
jofre	jofre 
林堡公园球场	Limburg Park 
海军战争学院	Naval War College 
桑乔一世_(莱昂)	Sancho I_ (Leon) 
爱到底	love forever 
李赞祥	Li Zanxiang 
玛格丽塔_(西班牙公主)	Margarita_ (Spanish Princess) 
马里埃尔共和国国徽	National Emblem of the Republic of Mari El 
中央人民政府外交部	Ministry of Foreign Affairs of the Central People's Government 
计算机协会	Computer Association 
宏观经济学	macroeconomics 
扬子江快运	Yangtze River Express 
福斯动画工作室	Fox Animation Studio 
泰乌	Htay Oo 
野沢拓也	Takuya Nozawa 
姜相宇	Jiang Sangwoo 
希腊半岛	Greek peninsula 
埼玉县旗	Saitama Prefecture Flag 
承德避暑山庄及其周围寺庙	Chengde Mountain Resort and its surrounding temples 
西亚足球锦标赛	West Asian Football Championship 
藤原五百重娘	Fujiwara Five Hundred Thousand Girls 
兰卡斯特_(兰开夏郡)	Lancaster_ (Lancashire) 
威廉·邓德斯韦	William Dundesway 
乾隆帝皇六女	Six Daughters of Emperor Qianlong 
人间蒸发_(电视剧)	Evaporation of the World_ (TV series) 
广濑胜利	Hirose Victory 
莞宝方言	Guanbao Dialect 
航海家计画	Navigator Project 
郑咏曦	Zheng Yongxi 
新北市私立复兴高级商工职业学校	New Taipei City Private Fuxing Advanced Commercial and Industrial Vocational School 
英国外交部	British Foreign Office 
西中部德语	West Central German 
波的尼亚湾	Bothnia Bay 
松梅双鹤图	Pine and plum double crane illustration 
法兰西民主联盟	French Democratic League 
马其顿代纳尔	Macedonian Denar 
三村真	Makoto Mimura 
蒙斯-埃诺大学	Mons-Hainault University 
第二次维也纳勒令	Second Vienna Order 
理查德·巴尔顿·霍尔丹，第一代霍尔丹子爵	Richard Barton Haldane, the first Viscount Haldane 
欧登塞球场	Odense Stadium 
中山站_(中山市)	Zhongshan Station_(Zhongshan City) 
徐国良	Xu Guoliang 
洛杉矶火花	Los Angeles Sparks 
卢旺达众议院	Rwanda House of Representatives 
音乐飙榜	Music charts 
石田雅俊	Masatoshi Ishida 
国家级高新技术产业开发区	National High-tech Industrial Development Zone 
华兰根	Hualangen 
小室直义	Nao Komuro 
碧血狂杀	Jade Blood Killing 
s:中华人民共和国国防法	s: National Defense Law of the People's Republic of China 
c9联盟	c9 alliance 
乔治亚理工大学	Georgia Tech University 
俄罗斯边防军	Russian Border Force 
亨利·邓达斯，第一代梅尔维尔子爵	Henry Dundas, the first Viscount Melville 
大手门	Otemon 
泰米尔-卡纳达语支	Tamil-Kannada 
庇护六世	Pius VI 
中京圈	Zhongjing Circle 
宇宙人_(消歧义)	Cosmic People_ (disambiguation) 
庞克文化	Punk culture 
山田信博	Nobuhiro Yamada 
金起范_(1990年生)	Kim Ki Bum_ (born in 1990) 
棕灶鸟	Brown Oven 
威尔斯王妃戴安娜	Diana, Princess of Wales 
龙纹身的女孩	Girl with dragon tattoo 
德比郡谷地_(英国国会选区)	Derbyshire Valley_(British Parliamentary District) 
天主教母佑会萧明中学	Siu Ming Secondary School 
科尔沁扎萨克达尔罕亲王	Prince Horqin Zasak Darhan 
珍珠奶茶	Pearl milk tea 
芬兰自治市列表	List of municipalities in Finland 
全国省政委员会	National Provincial Committee 
贵人金氏	Noble King 
首钢集团	Shougang Group 
社会福利	Social Welfare 
刘建业	Liu Jianye 
高分子化学	high polymer chemistry 
蒙哥马利县_(宾夕法尼亚州)	Montgomery County_(Pennsylvania) 
巴拿马巴波亚	Panamanian Balboa 
越南军用电子电信足球俱乐部	Vietnam Military Electronic Telecommunications Football Club 
第1军_(日本陆军)	1st Army_ (Japanese Army) 
郑秀珍	Zheng Xiuzhen 
卡尔·爱德华_(萨克森-科堡-哥达)	Carl Edward_ (Saxony-Coburg-Gotha) 
海尔·马里亚姆·门格斯图	Haile Mariam Mengistu 
奥沙辛拿b队	Osasina B team 
小山田真	Shin Koyamada 
隐藏类游戏	Hidden games 
小米手机4i	Mi 4i 
圆富里	Yuan Fuli 
英格兰的埃莉诺	Eleanor of England 
小川佳纯	Ogawa Kasumi 
朝鲜大学	Chosun University 
龙凤里	Longfengli 
清水武仁	Takehito Shimizu 
astro华丽台电视剧大奖2006	astro TV Drama Awards 2006 
防空作战	Air defense operations 
电视节目	TV show 
晓答应	Xiao promised 
玉井诗织	Tamai Shiori 
宁波帮博物馆	Ningbo Gang Museum 
category:里海岛屿	category:Caspian Islands 
田原健一	Kenichi Tahara 
鲍德温四世	Baldwin IV 
西班牙社会主义青年	Spanish Socialist Youth 
政府首脑	Head of government 
什勒斯维希-霍尔斯坦-索恩德堡-格吕克斯堡王朝	Schleswig-Holstein-Sondeburg-Glücksburg Dynasty 
科技浩室	Technology House 
易德津足球会	Yidejin Football Club 
立陶宛民主劳动党	Lithuanian Democratic Labor Party 
.gh	.gh 
哥伦布机员球场	Columbus Crew Field 
小椋祥平	Shohei Ogura 
幕后高人	Master behind the scenes 
唐明宗	Tang Mingzong 
长皇子	Eldest prince 
约翰·阿尔布雷希特_(梅克伦堡-什未林)	Johann Albrecht_ (Mecklenburg-Schwerin) 
朝鲜仁宗	Renzong, North Korea 
宽频电视	Broadband TV 
和谐号crh380b型电力动车组	Harmony crh380b electric EMU 
阿德莱·史蒂文森一世	Adlay Stevenson I 
泰恩河畔纽卡斯尔-沃尔森德_(英国议会选区)	Newcastle upon Tyne-Wallsend_(British Parliamentary District) 
松浦晃久	Akihisa Matsuura 
凯艺娱乐发展有限公司	Kaiyi Entertainment Development Co., Ltd. 
g弦上的咏叹调	Aria on the g string 
王新辉	Wang Xinhui 
福尔摩斯探案	Sherlock Holmes 
阿尔萨斯苏维埃共和国	Alsace Soviet Republic 
中华民国国家安全局	National Security Agency of the Republic of China 
摩亚球场	Moa Stadium 
昂热足球俱乐部	Angers Football Club 
山崎二休	Yamazaki Nikkyu 
陈敬和	Chen Jinghe 
大和久宏之	Hiroyuki Yamato 
全美娱乐公司	National Entertainment Corporation 
警徽天职3	Police badge duty 3 
塞门塔尼卡足球俱乐部	Sermentanica Football Club 
正木万	Masaki Man 
马达加斯加阿里亚里	Madagascar Ariari 
富士见市	Fujimi City 
保土谷站	Hodogaya Station 
内政联足球俱乐部	Inner League Football Club 
复胖男女	Obese men and women 
阿沛·阿旺晋美	Ngapoi Ngawang Jigme 
罗马尼亚之星勋章	Romanian Star 
以色列国会议长	Speaker of the State of Israel 
.cw	.cw 
中国共产党第十二次全国代表大会	The Twelfth National Congress of the Communist Party of China 
儋州话	Danzhou dialect 
海军元帅	Marshal 
张锡媛	Zhang Xiyuan 
让-马里·勒庞	Jean-Marie Le Pen 
李泽楷	Li Zekai 
家园战线	Homeland Front 
塞莱斯廷四世	Celestine IV 
伊斯兰共和党	Islamic Republican Party 
郑许城际铁路	Zhengxu Intercity Railway 
夏威夷英语	Hawaiian English 
里昂圣-埃克苏佩里机场	Lyon Saint-Exupéry Airport 
新中右党	New center right party 
松平昭训	Matsudaira Akikuni 
约翰·拉姆利-萨维尔，第八代斯卡伯勒伯爵	John Lumley-Savile, 8th Earl of Scarborough 
梁仲然	Liang Zhongran 
岩手县旗	Iwate Prefecture Flag 
菲律宾语字母	Filipino alphabet 
曼岛镑	Isle of Man Pound 
普罗耶什蒂佩特罗鲁足球俱乐部	Proiesti Petrolu Football Club 
弗留利球场	Friuli Stadium 
科普特人	Coptic 
泛非议会	Pan African Parliament 
蜘蛛人惊奇再起2：电光之战	Spider-Man Resurrection 2: The Battle of Lightning 
南非国民议会	South African National Assembly 
卡姆登战役	Battle of Camden 
英格兰社区盾	England Community Shield 
圣拉菲尔_(加利福尼亚州)	San Rafael_ (California) 
2013年世界田径锦标赛	2013 World Athletics Championships 
利孝和	Li Xiaohe 
三重县民歌	Folk Songs of Mie Prefecture 
hildon	hildon 
新西兰二级行政区划	New Zealand secondary administrative divisions 
意大利方言	Italian dialect 
香港城市大学法律学院	City University of Hong Kong School of Law 
印裔缅甸人	Indian Burmese 
土木工程师	civil engineer 
.ca	.that 
地峡之歌	Song of the Isthmus 
犹太-突尼西亚阿拉伯语	Jewish-Tunisian Arabic 
朱安达内阁	Juanda Cabinet 
行政院消费者保护会	Consumer Protection Council of the Executive Yuan 
警察及罪案事务专员	Commissioner of Police and Crime 
黄金海岸总督	Governor of Gold Coast 
郑埻夏	Zheng Yanxia 
完美世界	a perfect world 
玛丽公主_(梅克仑堡-施未林)	Princess Mary_(Mecklenburg-Schwerin) 
春田兵工厂	Springfield Armory 
+599	+599 
全乌克兰祖国联盟	All Ukrainian Fatherland Union 
蛭子神	Hiruko God 
大连博阳	Dalian Boyang 
马来族语言	Malay language 
高木政臣	Takagi Masato 
阪本良介	Ryosuke Sakamoto 
.so	.so 
关伟文	Guan Weiwen 
纽埃总理	Prime Minister of Niue 
阿尔萨乌拉体育会	Al Saula Sports Club 
海登海姆足球俱乐部	Heidenheim Football Club 
糊里糊涂爱上它	Fall in love with it 
不列颠哥伦比亚省省长	Governor of British Columbia 
潘文良	Pan Wenliang 
巴西国歌	Brazilian National Anthem 
暮光之城：破晓	Twilight Saga: Breaking Dawn 
洛厄尔_(马萨诸塞州)	Lowell_ (Massachusetts) 
第二届工作内阁	Second Working Cabinet 
石川直树	Ishikawa Naoki 
阿斯特丽公主	Princess Astri 
洪姓	Hong Surname 
2011年亚洲冬季运动会	2011 Asian Winter Games 
物理宇宙学	Physical cosmology 
申勇南	Shen Yongnan 
丸山桂里奈	Karina Maruyama 
塞尔维亚汽车牌照	Serbian car license 
极地双子星	Polar Gemini 
爱尔兰银行	Bank of Ireland 
谷川秀善	Shuzen Tanigawa 
汤马士·彭利拿	Thomas Penlina 
方启俊	Fang Qijun 
钱胡美琦	Qian Hu Meiqi 
剑桥大学唐宁学院	Downing College, Cambridge University 
土耳其国家男子篮球队	Turkish National Men's Basketball Team 
主权财富基金	Sovereign wealth fund 
上海育碧	Ubisoft Shanghai 
肾盂肾炎	Pyelonephritis 
.hu	Hu 
索尔姆斯-布劳西女伯爵	Countess of Solms-Blossy 
南昌铁路局	Nanchang Railway Bureau 
河北町	Kahoku Town 
伊普斯威奇_(昆士兰州)	Ipswich_ (Queensland) 
中央军事委员会装备发展部	Central Military Commission Equipment Development Department 
敬孝义皇后	Queen of filial piety 
班加罗尔市区县	Bangalore City and County 
周海婴	Zhou Haiying 
高桥由佳	Takahashi Yuka 
托马斯·沃森-文特沃斯，第一代罗金汉侯爵	Thomas Watson-Wentworth, the first Marquis of Rockingham 
野本泰崇	Yasutaka Nomoto 
有安杏果	An apricot 
内蒙古师范大学	Inner Mongolia Teaching University 
倭姬王	King Waji 
塔吉克斯坦内战	Tajikistan Civil War 
巴黎第八大学	University of Paris 8 
brolio	brother 
visibroker	visibroker 
约克郡与恒伯	Yorkshire and Humber 
中华民国国务总理	Prime Minister of the Republic of China 
泰坦1号运载火箭	Titan 1 launch vehicle 
寻根文学	Root Literature 
巴勒维王朝	Bahlavi Dynasty 
经纪公司	agency 
美国有线新闻	Usa cable news 
羽田内阁	Haneda Cabinet 
贾斯珀_(居家男人)	Jasper_ (House Man) 
美味关系	Delicious relationship 
泽野弘之	Hiroyuki Sawano 
中国南车股份有限公司	China South Locomotive Co., Ltd. 
三体问题	Three-body problem 
田中六助	Tanaka Rosuke 
国民党_(1912年)	Kuomintang_ (1912) 
双溪里茂	Sungai Limao 
三星电机	Samsung Electro-Mechanics 
罗德西亚总理	Prime Minister of Rhodesia 
台北市立中山女子高级中学	Taipei Zhongshan Girls High School 
第六次反法同盟	The Sixth Anti-French Alliance 
波鸿鲁尔大学	Ruhr University Bochum 
文莱苏丹	Brunei Sultan 
中马来-波利尼西亚语群	Central Malay-Polynesian group 
李德贤	Li Dexian 
