节奏蓝调	Rhythm and blues 
标致汽车	Peugeot 
节奏口技	Rhythmic ventriloquist 
上海嘉定体育场	Shanghai Jiading Stadium 
穆萨阿里山	Moussa Ali 
日进站_(埼玉县)	Nissin Station_ (Saitama Prefecture) 
夏目公一朗	Koichiro Natsume 
曼尼托巴大学	University of Manitoba 
hh-60松鸭鹰	hh-60 loose duck eagle 
富智康集团	Fortune Group 
瑞典皇家科学院	Royal Swedish Academy of Sciences 
国有独资公司	Wholly state-owned company 
比佛利拜金女	Beverly Gold Worship 
埃瓦尔体育协会	Ebar Sports Association 
芝加哥罗耀拉大学	Loyola University of Chicago 
华夏航空	China Airlines 
乌尔巴诺·卡尔戴拉球场	Urbano Caldera Stadium 
阿苏-埃科托	Aso-Ekoto 
陈昭安	Chen Zhaoan 
圣米迦勒学院	St. Michael's College 
东京dogs	Tokyo dogs 
罗伦斯威尔中学	Lawrenceville Middle School 
碳纳米管	Carbon nanotube 
周永晖	Zhou Yonghui 
嘻哈灵魂	Hip hop soul 
美国第五集团军	U.S. Fifth Army 
陆军总司令部_(德国国防军)	Army Headquarters_ (German Wehrmacht) 
黄真	Huang Zhen 
新达里	Shintari 
坎伯兰大学	Cumberland University 
空中战争	Air war 
csi犯罪现场：迈阿密	csi crime scene: Miami 
卡美哈梅哈家族	Kamehameha 
维马高	Vimarco 
江苏省第六次人口普查结果概况	Overview of the Results of the Sixth Census of Jiangsu Province 
莫斯科州州长	Governor of Moscow Region 
英美法系	Common Law 
火龙球场	Fire Dragon Stadium 
丰田公园	Toyota Park 
中国人民解放军总政治部歌舞团	Song and Dance Ensemble of the General Political Department of the Chinese People's Liberation Army 
大连顺发足球俱乐部	Dalian Shunfa Football Club 
荷属安的列斯盾	Netherlands Antilles Shield 
珀斯足球俱乐部	Perth Football Club 
维克托·霍普，第二代林利思戈侯爵	Victor Hope, the second Marquis of Linlithgow 
凯恩斯区政府	Cairns District Government 
镰仓时代	Kamakura period 
菊地光将	Kosuke Kikuchi 
权真秀	Quan Zhenxiu 
广播电台	radio station 
华视教育文化台	Huashi Education and Culture Channel 
第三届工作内阁	The third working cabinet 
义大利18岁以下国家足球队	Italy Under-18 National Football Team 
康斯坦丝_(诺曼底)	Constance_ (Normandy) 
大陆哲学	Continental philosophy 
重庆交通规划勘测设计院	Chongqing Transportation Planning Survey and Design Institute 
新党友爱	New party friendship 
阿尔华达足球俱乐部	Al Wahda Football Club 
排湾语群	Paiwan Group 
塞纳塞纳河畔	Seine-sur-Seine 
皮尔_(南达科他州)	Peel_ (South Dakota) 
诺门罕战役	Battle of Normanham 
南奥塞提亚独立日	South Ossetia Independence Day 
独立者与农民国家中间党	Independents and Peasants National Center Party 
定点清除	Spot clearing 
马德里体育会b队	Madrid Athletic Club b team 
utc-9	utc-9 
aim-120先进中程空对空飞弹	aim-120 advanced medium-range air-to-air missile 
顺苓里	Shunlingli 
lisca	leaves 
吴福源	Wu Fuyuan 
克罗地亚独立日	Croatia Independence Day 
前399年	399 years ago 
守礼门	Shurei Gate 
奥斯卡最佳原创剧本奖	Oscar for Best Original Screenplay 
费欧图	Feutu 
伦敦街道	London street 
埃里克十二世	Eric XII 
武装炼金	Armed Alchemy 
中川雅治	Masaharu Nakagawa 
摩尔多瓦行政区划	Administrative divisions of Moldova 
第一代约克公爵什鲁斯伯里的理查	Richard of Shrewsbury, 1st Duke of York 
按人口排列的英格兰地区	England by population 
第四代亨廷顿及北安普顿伯爵圣利兹的西蒙二世	Simon II of St. Leeds, 4th Earl of Huntington and Northampton 
并行计算	Parallel Computing 
爆漫王。	Bakuman. 
爱因斯坦-希尔伯特作用量	Einstein-Hilbert action 
荷兰教育、文化及科学部	Ministry of Education, Culture and Science 
blender基金会	blender foundation 
自由邦球场	Free State Stadium 
英格兰的单一管理区	Single management area in England 
阿卜杜拉国王体育城体育场	King Abdullah Sports City Stadium 
德国马克	Deutsche Mark 
大十字阿道夫拿骚勋章	Grand Cross Adolphe Nassau 
杰瑞·迈特帕里	Jerry Metppali 
哥伦比亚足球协会	Colombian Football Association 
葛量洪教育学院	Grantham College of Education 
阿帕契ah_mk1直升机	Apache ah_mk1 helicopter 
北京市八宝山革命公墓	Beijing Babaoshan Revolutionary Cemetery 
清水圭介	Keisuke Shimizu 
赤羽一嘉	Kazuyoshi Akaba 
土屋举直	Tsuchiya Juzhi 
巴尔干半岛	Balkans 
刘碧丽	Liu Bili 
天合联盟	SkyTeam 
小叶杜鹃	Rhododendron 
唐宫美人天下	Tang Palace Beauty World 
内穆尔公爵	Duke of Nemours 
菩提树下大街	Avenue under the Linden Tree 
阿比让非洲体育会	Abidjan African Sports Association 
增田有华	Masuda Yuka 
罗伯特·纳皮尔，第一代抹大拉的纳皮尔男爵	Robert Napier, the first Baron Napier of Magdalene 
海田町	Kaita Town 
奈须蘑菇	Nasu Mushroom 
匈牙利国家银行	National Bank of Hungary 
申成在	Shen Chengzai 
简化汉字	Simplify Chinese characters 
宝贝对不起	Baby I'm sorry 
海洋男孩足球俱乐部	Ocean Boys Football Club 
罗马尼亚国王	King of Romania 
笑笑大搞作	Make a big laugh 
秦祥林	Qin Xianglin 
韩国sm娱乐有限公司	Korea sm Entertainment Co., Ltd. 
翁索内戈罗	Onsonegoro 
袁宝慧	Yuan Baohui 
新步步惊心	New step by step startling 
山姆·桑兹，第一代桑兹男爵	Sam Sands, the first Baron Sands 
张越_(女子足球运动员)	Zhang Yue_ (female football player) 
亚美尼亚使徒教会	Armenian Apostolic Church 
影音俱乐部	Video club 
奥尔巴尼公爵	Duke of Albany 
史笃城足球俱乐部	Stoke City Football Club 
陈宪宗	Chen Xianzong 
端悯固伦公主	Pity princess gurun 
联合国总部	United Nations Headquarters 
尚源道	Shang Yuan Dao 
叡山菫	Eiyama Kaoru 
海口美兰国际机场	Haikou Meilan International Airport 
爱尔兰标准时间	Irish Standard Time 
王政义	Wang Zhengyi 
巫山长江大桥	Wushan Yangtze River Bridge 
打狗棒法	Beating 
存在主义	Existentialism 
第六凯旋军团	Sixth Triumph Army 
ubuntu软体中心	ubuntu software center 
华沙大学	University of Warsaw 
西乍得语支	West Chadian 
大畠章宏	Akihiro Ohata 
劳斯莱斯股份有限公司	Rolls royce co., ltd. 
古越语	Ancient Vietnamese 
天主教大叻教区	Catholic Diocese of Dalat 
查尔斯·格雷，第二代格雷伯爵	Charles Gray, the second Earl of Gray 
寰亚唱片	Media Asia Records 
重庆电视台	Chongqing Television 
印尼足球协会	Indonesian Football Association 
半音节文字	Semisyllable text 
美咲町	Misaki Town 
苏梅克－列维9号彗星	Comet Shoemaker-Levy 9 
第二版土耳其里拉	Second Edition Turkish Lira 
奥格斯希姆足球俱乐部	Augssim Football Club 
窃听风云	Overheard 
耶侯达	Yehouda 
奥斯纳布吕克大学	University of Osnabrück 
伊朗科学研究与技术部	Iranian Ministry of Scientific Research and Technology 
jp:御匣殿	jp: Imperial Box Hall 
东京急行电铁	Tokyo Kyuko Electric Railway 
saraorci	saraorci 
磐隈皇女	Princess Iwakuma 
古希美·芬拿	Guthime Finner 
宫泽洋一	Yoichi Miyazawa 
美国海军研究实验室	U.S. Naval Research Laboratory 
菲律宾中央银行	Central Bank of the Philippines 
民主国家救国阵线	National Salvation Front for Democracies 
香港华纳唱片	Warner Music Hong Kong 
查干·奥云达里	Chagan Owendari 
死亡旋律金属	Death melody metal 
教育及技能大臣	Minister of Education and Skills 
.de	.of 
伊拉克共和国电话区号	Republic of Iraq Telephone Code 
ビクターエンタテインメント株式会社	Victor Entertainment Co., Ltd. 
古典女子蓝调	Classical Women's Blues 
岛本町	Shimamoto Town 
1_e+9_m³	1_e + 9_m³ 
英格兰联邦	Commonwealth of England 
长荣航太科技	Evergreen Aerospace Technology 
丹麦摇滚	Danish Rock 
拉蒙·桑切斯·皮斯胡安球场	Ramon Sanchez Pizjuan Stadium 
比鲁尼	Biruni 
小额贷款	Small loan 
保加利亚保守党	Bulgarian Conservative Party 
获得性遗传	Acquired inheritance 
南京圣母无染原罪主教座堂	Nanjing Cathedral of the Immaculate Conception 
守贞亲王	Prince Shouzhen 
真心请按两次铃	Please ring the bell twice 
大北方战争	Great Northern War 
莱切足球俱乐部	Lecce Football Club 
西法兰克王国	West Franck Kingdom 
袁剑伟	Yuan Jianwei 
约旦王储	Crown Prince of Jordan 
宏池会_(谷垣派)	Hongchihui_(Tanigaki School) 
智利新国	New country of chile 
巴勒斯坦民族权力机构主席	President of the Palestinian National Authority 
胭脂水粉	Rouge gouache 
泰国王冠勋章	Thai Crown Medal 
北岭里	Beilingli 
阿梅德奥王子_(比利时)	Prince Amedeo_ (Belgium) 
2006年秘鲁大选	Peru election in 2006 
.im	.in the 
和硕悫靖公主	Princess Heshuo Chijing 
鸣海丈	Narumi Takeshi 
平壤战役_(1950年)	Battle of Pyongyang_ (1950) 
阿方索_(巴西帝国王子)	Alfonso_ (Prince of the Brazilian Empire) 
新闻new一下	News 
单镜头模式	Single lens mode 
中国人民解放军总参谋部	General Staff of the Chinese People's Liberation Army 
台北市立大理高级中学	Taipei Dali Senior High School 
图恩足球俱乐部	Thun Football Club 
齐藤太太	Mrs. Saito 
吉打苏丹王朝	Sultan of Kedah 
王中磊	Wang Zhonglei 
奥斯卡最佳男主角	Best Actor Oscar 
乌干达总统	President of Uganda 
奈史密斯学院年度最佳球员	Naismith Academy Player of the Year 
猪哥亮	Pig brother Liang 
乌兹别克国家足球队	Uzbek National Football Team 
《时代》封面人物列表_(1920年代)	"Time" cover list_(1920s) 
原始印欧人	Primitive Indo-European 
中原彰吾	Akago Nakahara 
华语剧台	Chinese Theatre 
古典时代晚期	Late Classical Age 
海南各市县地区生产总值列表	List of regional GDP of each city and county in Hainan 
绍兴市体育中心	Shaoxing Sports Center 
高速铁路	High-speed railway 
合作里	In cooperation 
美洲金杯	America's Gold Cup 
梅赛德斯车队	Mercedes Team 
神机妙算刘伯温	Liu Bowen 
中国高速铁路	China High Speed Railway 
草刈滉一	Koichi Kusakari 
邓素娟	Deng Sujuan 
文昶现	Wen Changxian 
美国西北部	Northwestern United States 
.bs	.bs 
最终用户许可协议	End User License Agreement 
诺曼底战役	Battle of Normandy 
意大利司法部长	Italian Minister of Justice 
越南总理	Prime Minister of Vietnam 
惧怕她	Fear her 
大众传播	mass media 
永久同盟	Perpetual alliance 
现在开始我爱你	I love you now 
乔丹车队	Jordan Team 
村田和哉	Kazuya Murata 
新罕布什尔大学	University of New Hampshire 
松田源治	Genji Matsuda 
小川辉晃	Ogawa Teruaki 
台南市市长	Mayor of Tainan City 
中国统一	Unification of China 
翡翠台电视剧集列表_(2008年)	Jade TV series list_(2008) 
拉丁礼教会	Latin Church 
哈比无人机	Hubi drone 
朝鲜文宗	Korean Wenzong 
mallaig	mallaig 
党委书记	Party Secretary 
王宪魁	Wang Xiankui 
混合法系	Mixed legal system 
崔东根	Choi Donggen 
伯灵顿_(马萨诸塞州)	Burlington_ (Massachusetts) 
刘旻	Liu Min 
大岛郡_(鹿儿岛县)	Oshima County_(Kagoshima Prefecture) 
村松大辅	Taisuke Muramatsu 
都柏林圣三一学院	Trinity College Dublin 
束怀德	Shu Huaide 
国际研究型大学联盟	International Research University Alliance 
事件驱动	Event driven 
日本锁国	Japan Sakoku 
黄衫女子	Yellow shirt woman 
商丘南站	Shangqiu South Railway Station 
阿斯图里亚斯亲王	Prince of Asturias 
日叻务	Zilebu 
希腊国会	Greek Parliament 
爱德华五世	Edward V 
绝对零度	Absolute zero 
乌拉尔联邦管区	Ural Federal District 
印度国防部	Indian Ministry of Defense 
帕莱斯蒂诺体育俱乐部	Palestino Sports Club 
同窗会～love_again症候群	Classmates ~ love_again syndrome 
库尔德人	Kurds 
希腊摄政	Greek Regency 
美国维珍尼亚州检察总长	Attorney General of Virginia 
松平康元	Matsudaira Yasumoto 
弗吉尼亚理工学院暨州立大学	Virginia Polytechnic Institute and State University 
许远东	Xu Yuandong 
东神奈川车站	Higashi Kanagawa Station 
巴哈马君主	Bahamas monarch 
常州站	Changzhou Railway Station 
张乾文	Zhang Qianwen 
勒星顿_(维吉尼亚州)	Lexington_(Virginia) 
尊胤入道亲王	Prince of respect 
曾田博久	Hirohisa Soda 
汉弥尔顿·古尔德-亚当斯	Hamilton Gould-Adams 
波苏战争	Polish-Soviet War 
小野猫	Little wild cat 
肯现场发行公司	Ken Field Distribution Company 
斯卡斯代尔子爵	Viscount Scarsdale 
千里达及托巴哥国家足球队	Trinidad and Tobago National Football Team 
广东有线	Guangdong Cable 
石破二朗	Jiro Ishiba 
印度独立运动	Indian Independence Movement 
张勋杰	Zhang Xunjie 
爱就宅一起	Love and stay together 
印度政务次官	Undersecretary of Government of India 
袁克华	Yuan Kehua 
罗伯特·里奇韦	Robert Ridgeway 
香港市民支援爱国民主运动联合会	Hong Kong Citizens Support Patriotic and Democratic Movement Federation 
芬兰-彼尔姆语支	Finnish-Perm Language Branch 
圣胡安县_(犹他州)	San Juan County_ (Utah) 
机器人动画	Robot animation 
阿卜杜拉·阿尔·费萨尔王子体育场	Prince Abdullah Al Faisal Stadium 
比尔·布莱尔_(篮球教练)	Bill Blair_ (basketball coach) 
nba总冠军	nba championship 
伊斯兰教法	Islamic law 
南原区政府	Namwon District Government 
自由爵士	Free jazz 
.sm	.cm 
大众汽车竞技场	Volkswagen Arena 
君士坦提乌斯二世	Constantius II 
战略管理	Strategic management 
布列塔尼公爵科南四世	Conan IV, Duke of Brittany 
未来都市no.6	Future City no.6 
刑事侦缉档案iv	Criminal Investigation File iv 
肖震_(足球运动员)	Xiao Zhen_ (Football Player) 
加拿大东部	Eastern Canada 
吕西安‧高德曼	Lucien Goldman 
蓟县话	Jixian Dialect 
u15_(加拿大大学)	u15_(Canada University) 
塔夫斯大学	Tufts University 
水原世界杯竞技场	Suwon World Cup Stadium 
奥克拉荷马大学	University of Oklahoma 
精简指令集	Reduced instruction set 
.yu	.versus 
苏联解体	Disintegration of the Soviet Union 
约翰·马歇尔·哈伦二世	John Marshall Harlan II 
波士顿大学	Boston University 
欧洲直升机公司as-365n2海豚	Eurocopter as-365n2 Dolphin 
藤原嫄子	Fujiwara 
金哲明_(足球运动员)	Jin Zheming_ (football player) 
西雷丁_(英国国会选区)	West Reading_ (British Parliamentary District) 
雅盖隆王朝	Jagiellonian 
南台湾	South Taiwan 
中西康晴	Nakanishi Kangqing 
赤山里_(仁武区)	Chishanli_(Renwu District) 
印度尼西亚民族协会	Indonesian National Association 
法律哲学	Legal philosophy 
西班牙足球丙级联赛	Spanish Football League C 
华盛顿州立大学	Washington State University 
波兰民主联盟	Polish Democratic Union 
瑞宝大绶章	Ruibao Great Ribbon Chapter 
墨尔本皇家理工大学	Royal Melbourne Institute of Technology 
尚佩恩县_(伊利诺伊州)	Champaign County_ (Illinois) 
奥本山宫殿球场	Palace of Auburn Hills 
诺贝尔化学奖	Nobel Prize in Chemistry 
前贵之	Former expensive 
试播集_(穹顶之下)	Pilot episode_ (under the dome) 
光州尚武不死鸟	Gwangju Sangmu Phoenix 
亚特兰大老鹰	Atlanta Hawks 
欧文斯伯勒	Owensboro 
最终幻想xiii	Final Fantasy xiii 
新疆各地州市地区生产总值列表	List of Gross Domestic Product of Xinjiang 
西园寺禧子	Xiyuan Temple Xizi 
中央集团军	Central Army 
滨海绍森德区议会	Southend-on-Sea District Council 
米兰加积斯	Milan Gaius 
蒙古国国旗	Mongolia flag 
桂林话	Guilin dialect 
帕特里克·皮尤特施密特	Patrick Pietschmidt 
正黄旗	Yellow flag 
阿斯科利足球俱乐部	Ascoli Football Club 
我那霸文章	My Naha article 
圣保罗州足球协会	Sao Paulo State Football Association 
德国足协杯	German Football Association Cup 
潜行狙击	Sneak sniper 
廉政行动2007	Integrity Action 2007 
亨内平县_(明尼苏达州)	Hennepin County_(Minnesota) 
彼得罗扎沃茨克	Petrozavodsk 
俄国君主列表	List of Russian monarchs 
新传媒	New media 
青年路易	Young Louis 
徐常在	Xu resident 
科学哲学	Philosophy of science 
殷都	Yindu 
徳重健太	Kenta Tokushige 
宜昌百合	Yichang Lily 
佩西塔拉北雅加达足球俱乐部	Persitara North Jakarta Football Club 
中国标准时间	China Standard Time 
合肥师范学院	Hefei Teachers College 
新加坡报业控股传讯	Singapore Press Holdings Communications 
党指挥枪	Party Command Gun 
弘化	Koka 
中山恭子	Nakayama Kyoko 
东部马来-玻里尼西亚语族	Eastern Malay-Polynesian 
孟买高等法院	Mumbai High Court 
五华体育场	Wuhua Stadium 
石礼谦	Shi Liqian 
国际贸易	international trade 
谭汶琳	Tan Wenlin 
美国第3骑兵团	US 3rd Cavalry Regiment 
幸运☆星	Lucky Star 
阿布哈兹战争_(1992年-1993年)	The Abkhazian War (1992-1993) 
中国文化大学	Chinese Culture University 
澳大利亚环境保护、遗产与文化部长	Minister of Environmental Protection, Heritage and Culture of Australia 
小米手机青春版	Xiaomi Mobile Youth Edition 
罗德西亚与尼亚萨兰联邦	Federation of Rhodesia and Nyasaland 
埃及现代君主列表	List of modern monarchs of Egypt 
吕正清	Lu Zhengqing 
杭州湾跨海大桥	Hangzhou Bay Bridge 
马达加斯加总理	Prime Minister of Madagascar 
曽田博久	Hirohisa Soda 
沙特国王杯	Saudi King's Cup 
美国本土	United States 
进击的巨人	Attacking Giant 
埃及第十七王朝	Seventeenth Dynasty of Egypt 
韦尔瓦足球俱乐部	Huelva Football Club 
侯赛因·塔赫里	Hussein Taheri 
织田信秀_(信长之子)	Oda Nobuhide_ (son of Nobunaga) 
台湾地区	Taiwan area 
韦里瓦_(澳大利亚国会选区)	Weriwa_ (Australian Parliamentary Constituency) 
冼淑梅	Xian Shumei 
创意总监	Creative Director 
肇庆体育中心	Zhaoqing Sports Center 
航天飞机轨道器	Space Shuttle Orbiter 
喀拉拉高等法院	Kerala High Court 
法罗克朗	Faro Krona 
范荣笙	Fan Rongsheng 
坂口望二香	Sakaguchi Nojika 
新干线e2系电力动车组	Shinkansen e2 series electric train set 
真航空	Jin Air 
彼得·纽文	Peter Newven 
股份有限公司	Company limited by shares 
格拉斯哥玛丽丘和斯普林伯恩_(苏格兰议会选区)	Glasgow Mary Hill and Springburn_ (Scottish Parliament constituency) 
诺贝尔和平奖	Nobel Peace Prize 
三星galaxy系列	Samsung galaxy series 
四殉道堂	Four Martyrs Church 
马场好弘	Yoshihiro Maiba 
天津汇森女子足球俱乐部	Tianjin Huisen Women's Football Club 
加速度感应器	Acceleration sensor 
海南话拼音方案	Hainanese Pinyin Plan 
qb64	Qibt 4 
建宫敬仁亲王	Prince Jingren 
孝恭章皇后	Queen Xiao Gongzhang 
南风原町	Haebaru Town 
李明	Li Ming 
弗赖堡足球俱乐部	Freiburg Football Club 
中央全面深化改革领导小组	Central Leading Group for Comprehensively Deepening Reform 
国务院台湾事务办公室	Taiwan Affairs Office of the State Council 
中华民国国歌	National Anthem of the Republic of China 
制度经济学	Institutional Economics 
仙恭皇后	Queen Xian Gong 
香港特别行政区政府	The Government of the Hong Kong Special Administrative Region 
孟买郊区县	Mumbai Suburban County 
保卫共和大会	Defense of the Republic 
竹南里	Zhunanli 
任天堂3ds系统软件	Nintendo 3ds system software 
国民解放军	National Liberation Army 
阿方索_(安茹及加的斯公爵)	Alfonso_ (Duke of Anjou and Cadiz) 
蒙古汗国君主列表	List of monarchs of the Mongolian Khanate 
帕迪尤卡_(肯塔基州)	Paducah_ (Kentucky) 
伪满皇宫博物院	Puppet Palace Museum 
拜仁慕尼黑二队	Bayern Munich Second Team 
山内忠义	Yamauchi Tadao 
内华达州第二国会选区	Nevada Second Congressional District 
防御分析学会	Defense Analysis Society 
让-克洛德·范考文伯格	Jean-Claude Van Kaewenberg 
jp:渡辺なつみ	jp: Natsumi Watanabe 
帕拉山骑士足球俱乐部	Pala Mountain Knights Football Club 
荷兰归正会	Dutch Reformed Church 
starteam	starteam 
赠空大学	Donated university 
政治理论	Political theory 
红星勋章	Red Star Medal 
香港民主民生协进会	Hong Kong Association for Democracy and People's Livelihood 
锡耶纳圣徒	Saints of Siena 
中国人民政治协商会议全国委员会主席	Chairman of the National Committee of the Chinese People's Political Consultative Conference 
副队长	vice captain 
陈新侠	Chen Xinxia 
巴勒斯坦历史	Palestine history 
维也纳科技大学	Vienna University of Technology 
白俄罗斯摇滚	Belarusian Rock 
刘弘_(刘备之父)	Liu Hong_(Father of Liu Bei) 
内田达也	Tatsuya Uchida 
广东肇庆恒泰足球俱乐部	Guangdong Zhaoqing Hengtai Football Club 
阿倍橘娘	Abe Tangerine 
伊朗内政部	Iranian Ministry of Interior 
罗马执政官	Archon of Rome 
伍锦霖	Wu Jinlin 
米兰达	Miranda 
mozella	mozella 
wondelgem	wondelgem 
具代烨	Gu Dai Yeo 
地区生产总值过千亿元地级市列表	List of prefecture-level cities with a GDP exceeding 100 billion yuan 
见上森陵	See Shang Sen Ling 
山田显义	Yamada Kenyoshi 
北京鸟人艺术推广有限公司	Beijing Birdman Art Promotion Co., Ltd. 
金日成-金正日主义	Kim Il Sung-Kim Jong Il Doctrine 
越南人民军	Vietnamese People's Army 
利物浦市政厅	Liverpool Town Hall 
马赞德兰语	Mazandaran 
菲律宾国会	Philippine Congress 
罗凤𬞟	Luo Feng𬞟 
项兆伦	Xiang Zhaolun 
内吉梅丁·埃尔巴坎	Nejimedin Erbakan 
上海银行	Shanghai Bank 
中华民国总统府	Presidential Palace of the Republic of China 
波利尼亚克公爵	Duke of Polignac 
葛林芝火山	Ge Linzhi Volcano 
大分体育公园综合竞技场	Oita Sports Park Complex Arena 
前362年	362 years ago 
帕奥克足球俱乐部	Paok Football Club 
伊东杂音_(1999年出道)	Ito Noise_ (Debut in 1999) 
中央网络安全和信息化领导小组	Central Cyber Security and Informatization Leading Group 
威廉二世球场	William II Stadium 
中国共产党第十四次全国代表大会	The 14th National Congress of the Communist Party of China 
第一次意大利埃塞俄比亚战争	The First Italian-Ethiopian War 
东海旅客铁道	Tokai Railway 
波特拿	Porter 
中央研究院院士	Academician of Academia Sinica 
青埔机厂	Qingpu Machinery Factory 
中国思想史	History of Chinese Thought 
石破市造	Ichizo Ishiba 
陈武_(政治人物)	Chen Wu_(Politician) 
美国参议院民主党领袖	Democratic leader of the U.S. Senate 
约翰·彼得·古斯塔夫·勒热纳·狄利克雷	John Peter Gustave Lejeune Dirichlet 
柴谷英树	Hideki Shibatani 
天津市人民政府	Tianjin Municipal People's Government 
哥本哈根诠释	Copenhagen interpretation 
大开眼界!日本第一	Eye-opener! No. 1 in Japan 
波士尼亚与赫塞哥维纳政区	Districts of Bosnia and Herzegovina 
汪光焘	Wang Guangtao 
马歇尔县_(西维吉尼亚州)	Marshall County_ (West Virginia) 
克拉玛结他公司	Karama Guitar Company 
费米气体	Fermi Gas 
韩国造币与安全印刷合作公司	Korea Minting and Security Printing Cooperative Corporation 
新店站	Xindian Station 
牙买加，我们热爱的家园	Jamaica, our beloved home 
黑胶唱片	Vinyl Records 
高雄捷运	Kaohsiung MRT 
兰卡斯特的布兰奇	Blanche of Lancaster 
洛桑体育足球俱乐部	Lausanne Sports Football Club 
加拿大部队勋章	Canadian Forces Medal 
闽景宗	Minjingzong 
台北市立幸安国民小学	Taipei City Xing'an Elementary School 
威特曼·皮尔森，第一代考德雷子爵	Witman Pearson, the first Viscount Cowdray 
布拉甘蒂诺竞技俱乐部	Bragantino Athletic Club 
梅宫薰子内亲王	Prince of Umemiya Kaoriko 
巴啦啦小魔仙	Ba Lala little magic fairy 
户田信子	Toda Nobuko 
乔斯·维斯塔潘	Jose Verstappen 
大连湾前关足球俱乐部	Dalian Bay Qianguan Football Club 
北爱尔兰联赛杯	Northern Ireland League Cup 
资料控制语言	Data control language 
稻城市	Inagi 
小米手机4	Xiaomi mobile phone 4 
拜上帝会	Worship 
李海瓒	Li Haichan 
b.b.スタジオ	b.b. studio 
罗马尼亚足球总会	Romanian Football Association 
意大利足球卓越联赛	Italian Football Premier League 
若因维利竞技场	Joinville Arena 
桃园捷运公司	Taoyuan MRT Corporation 
groen!	green! 
亚伯达省议会	Alberta Parliament 
澳大利亚就业及劳资关系部	Australian Department of Employment and Labor Relations 
媒体播放器	media Player 
北京大学女生宿舍	Peking University Female Dormitory 
阿尔弗雷德亲王_(爱丁堡和萨克森-科堡-哥达)	Prince Alfred_ (Edinburgh and Saxony-Coburg-Gotha) 
科英布拉大学	University of Coimbra 
德国独立社会民主党	German Independent Social Democratic Party 
黄志成	Huang Zhicheng 
渣打集团	Standard Chartered Group 
.an	.an 
10美元纸币	10 dollar bills 
茶野隆行	Chano Takayuki 
广州昊昕	Guangzhou Haoxin 
帕斯卡_(消歧义)	Pascal_ (disambiguation) 
仲野顺也	Nakano Junya 
艾尔弗·斯隆基金	Alf Sloan Fund 
普罗旺斯的埃莉诺	Eleanor of Provence 
鲍渥共融	Bower Communion 
巴布亚新畿内亚君主	Monarch of Papua New Guinea 
科克市议会	Cork City Council 
史云斯足球俱乐部	Swans Football Club 
法比奥拉王后_(比利时)	Queen Fabiola_ (Belgium) 
日本柳杉	Japanese cedar 
自由民主党总务会	Liberal Democratic Party General Affairs Council 
温布利球场_(1923年)	Wembley Stadium_ (1923) 
太阳唱片公司	Sun Records 
桃花岛_(门派)	Peach Blossom Island_ (Martial Art) 
衍生拉丁字母	Derived Latin letters 
超级无敌奖门人_终极篇	Super Invincible Award Doorman_Ultimate 
葡萄牙17岁以下国家足球队	Portugal Under-17 National Football Team 
宇治田原町	Ujitawara Town 
室内设计师	interior designer 
espn2	espn2 
附庸国	Vassal state 
麻吉兄弟	Maji Brothers 
杨溥	Yang Pu 
罗马尼亚总统	President of Romania 
银鱼音乐有限公司	Whitebait Music Co., Ltd. 
陈百全	Chen Baiquan 
ac米兰足球俱乐部	ac Milan Football Club 
邓俊曦	Deng Junxi 
中央研究院物理研究所	Academia Sinica Institute of Physics 
利凯琳	Li Kailin 
城市体育馆	City Stadium 
黄承晖谢敏瑜逝世特辑	Special Collection of Huang Chenghui Xie Minyu's Death 
光格天皇	Emperor Kokaku 
近贺由香里	Yukari Kinga 
后座作用	Back seat 
噪音流行	Noise epidemic 
红色死亡左轮	Red death revolver 
链反应	Chain reaction 
埃及陆军	Egyptian Army 
泉中央站	Izumi Central Station 
汇编语言	Assembly language 
拉哈布拉_(加利福尼亚州)	La Habra_ (California) 
图皮语系	Tupi language family 
索非亚技术大学	Sofia Technical University 
福隆经纪公司	Fulong Brokerage Company 
镇西将军	General Zhenxi 
v-22鱼鹰式倾转旋翼机	v-22 Osprey Tilt Rotor 
田村稔	Tamura Minor 
法国高等科学研究所	French Institute of Advanced Sciences 
佛罗里达农工大学	Florida A&M University 
川口尚纪	Kawaguchi Naoki 
尤马蒂拉县_(俄勒冈州)	Umatilla County_ (Oregon) 
罗金荣	Luo Jinrong 
侬语支	Nong Branch 
福塔雷萨体育会	Fortaleza Sports Club 
命令与征服：叛逆者	Command and Conquer: The Rebel 
早阪良太	Ryota Hayasaka 
圣派翠克勋章	Saint Patrick's Medal 
id精英	id elite 
高木和彻	Takagi Kazutoru 
经济部长	Minister of Economy 
约阿尼纳	Ioannina 
九龙城区	Kowloon City District 
后印象派	Post-impressionism 
森元恒雄	Tsuneo Morimoto 
西斯笃一世	Sistus I 
希尔伯特计划	Hilbert Project 
阿方索_(巴西帝国皇子)	Alfonso_ (Prince of the Brazilian Empire) 
台北市立大同高级中学	Taipei City Datong Senior High School 
费扬古_(栋鄂氏)	Feiyanggu_ (Dong'e family) 
美国空军一级司令部列表	US Air Force Tier 1 Command List 
伟大文化	Great culture 
艺房紫北京文化传播有限公司	Yifangzi Beijing Culture Communication Co., Ltd. 
楚鲁巴斯科战役	Battle of Chulubasco 
卡拉比－丘流形	Calabi-Yau Manifold 
