桥本由香利	Hashimoto Yukari 
威根竞技	Wigan Athletic 
1993年亚洲女子足球锦标赛	1993 Asian Women's Football Championship 
联邦主体市	Federal City 
新贵人_(乾隆帝)	Upstart_ (Emperor Qianlong) 
副省级市辖区	Sub-provincial city district 
莱斯特大学	University of Leicester 
泰甸尼球场	Tideini Stadium 
鬼同你ot	Ghost with you ot 
中国足彩网	China Football Lottery 
tarragonès	Tarragona 
基督硬核	Christ Hardcore 
玛利欧系列	Mario series 
周伯华	Zhou Bohua 
西班牙陆军	Spanish Army 
爱上丑八怪	Fall in love with ugly 
庞加莱猜想	Poincaré Conjecture 
弗里德里希王子_(黑森和莱茵)	Prince Friedrich_ (Hesse and Rhein) 
标准铁轨	Standard rail 
小牛唱片	Mavericks Records 
堂安律	Don Anlu 
欧洲共产主义	European Communism 
雅各布森语言功能	Jacobson language features 
器乐摇滚	Instrumental Rock 
梁思浩	Liang Sihao 
新浪潮	New wave 
千里达及托巴哥	Trinidad and Tobago 
特普利采足球俱乐部	Teplice Football Club 
西班牙足协杯	Spanish Football Association Cup 
天安门广场	Tiananmen Square 
弱相互作用	Weak interaction 
松方巌	Iwao Matsukata 
阿克托比足球俱乐部	Aktobe Football Club 
黑龙江省_(中华民国)	Heilongjiang Province_(Republic of China) 
信德大学	Sindh University 
埃克塞特公爵夫人约克的安妮	Anne of York, Duchess of Exeter 
德国联邦财政部	German Federal Ministry of Finance 
罗马尼亚众议院	Romanian House of Representatives 
.il	.the 
伊凡四世	Ivan IV 
疗伤篇	Healing 
皮尔斯县_(华盛顿州)	Pierce County_ (Washington State) 
沈阳河畔足球俱乐部	Shenyang Riverside Football Club 
王德麟	Wang Delin 
艾历斯积‧维斯拿高夫斯	Elisj Wisnagoffs 
图形处理器	Graphics processor 
锡比乌	Sibiu 
祖拉布.日瓦尼亚	Zurab Zhivania 
新特兰北_(英国国会选区)	New Zealand North_(British Parliamentary District) 
薛尼·施斯奥拿	Xueni Shisona 
.vn	.VN 
霹雳-5导弹	Thunderbolt-5 missile 
早矢仕洋介	Yosuke Hayashi 
恰德察	Chadca 
山阶宫晃亲王	Prince Yamagai Miyako 
中华人民共和国高等教育部	Ministry of Higher Education of the People's Republic of China 
亨利·巴瑟斯特，第三代巴瑟斯特伯爵	Henry Bathurst, the third Earl of Bathurst 
上海市人民政府	Shanghai Municipal People's Government 
车库庞克	Garage Punk 
一等站_(中国大陆)	First Class Station_ (Mainland China) 
平泉成	Hiraizumi 
町田文人	Machida Literati 
file:dreamcast_logo.svg	file:dreamcast_logo.svg 
starstrukk	starstrukk 
管理委员会主席	Chairman of the Management Committee 
奥入濑溪流	Oirase Stream 
美国舰队总司令	Commander-in-chief of the united states fleet 
马其顿东正教会	Macedonian Orthodox Church 
阿西西	Assisi 
出包王女	To Love-Ru Princess 
温彻斯特城堡	Winchester Castle 
弗兰基球场	Frankie Stadium 
丹麦君主	Danish monarch 
来自塔拉哈西的人	People from Tallahassee 
弗鲁埃拉二世_(莱昂)	Frueira II_ (Leon) 
小埃里克·欣普顿·霍尔德	Eric Himpton Holder Jr. 
探索性数据分析	Exploratory data analysis 
瑞典银行球场	Swedish Bank Stadium 
东莞话	Dongguan dialect 
间接民主	Indirect democracy 
威力流行	Power Pop 
新井凉平	Ryohei Arai 
国际足联俱乐部世界杯	FIFA Club World Cup 
廖宝珊纪念书院	Liu Po Shan Memorial College 
丰能町	Toyono Town 
阿塞拜疆足球协会	Azerbaijan Football Association 
爱久见人心	Love for a long time 
智利人	Chilean 
眨眼182	Blink 182 
詹姆斯·劳瑟，第一代厄尔斯沃特子爵	James Lowther, 1st Viscount Ullswater 
天主教惠灵顿总教区	Catholic Archdiocese of Wellington 
内地延长主义	Mainland Extensionism 
陈丕显	Chen Pixian 
贝尔格莱德市长	Mayor of Belgrade 
朝鲜显宗	King Hyeonjong 
bukittinggi	high hill 
福克兰群岛总督	Governor of the Falkland Islands 
无线通讯	Wireless communication 
城市足球场	City Football Stadium 
巴尔的摩子弹_(1944年–1954年)	Baltimore Bullet_ (1944–1954) 
越南邮政编码	Vietnam Postcode 
美国财政部司库	Treasurer of the U.S. Treasury Department 
空中客车直升机公司	Airbus Helicopters 
高卢-罗曼语	Gaul-Romanian 
切尔伍德的塞西尔子爵	Viscount Cecil of Chelwood 
中华人民共和国国防委员会	National Defense Commission of the People's Republic of China 
剑桥大学圣约翰学院	St. John's College, Cambridge University 
约阿希姆·冯·里宾特洛甫	Joachim von Ribbentrop 
约维尔足球俱乐部	Yeovil Football Club 
苏联乌克兰战争	Soviet Ukraine War 
橘郡风云_(第二季)	Orange County Storm_(Season 2) 
里苏诺夫li-2	Lisunov li-2 
中华民国统帅旗	Flag of the Republic of China 
广东昊昕贸易足球俱乐部	Guangdong Haoxin Trade Football Club 
国务院新闻办公室	State Council Information Office 
上加龙省	Haute-Garonne 
昆明铁路局	Kunming Railway Bureau 
柏克莱加州大学	University of California, Berkeley 
中正国防干部预备学校	Zhongzheng National Defense Cadre Preparatory School 
晶体动力	Crystal power 
巴西军政府	Brazilian military government 
巴耶济德一世	Bayezid I 
mnek	From you 
音乐作曲家	Music composer 
松原市_(消歧义)	Songyuan City_(Disambiguation) 
日本鸡	Japanese chicken 
墨西哥足球甲级联赛	Mexican Football League 
上海绿地申花	Shanghai Greenland Shenhua 
南非行政区划	Administrative divisions of South Africa 
伊庇鲁斯专制国	Autocracy of Epirus 
法国摇滚	French rock 
布莱顿肯普敦_(英国国会选区)	Brighton Kempton_(British Parliamentary District) 
前326年	326 years ago 
光度感应器	Light sensor 
细菌学	Bacteriology 
荷兰副首相	Deputy Prime Minister of the Netherlands 
八代英太	Eita Yashiro 
大治町	Oharu Town 
提乌德拉德	Tiudrad 
德岛县民歌	Tokushima Prefecture Folk Song 
天河东站	Tianhe East Railway Station 
达沙功	Dasha Gong 
第二海务大臣	Second sea minister 
低地法兰克语	Lowland Frank 
郁文_(乔石夫人)	Yu Wen_(Mrs. Qiao Shi) 
伊拉克陆军	Iraqi Army 
科图拉	Kotura 
信仰的意志	Will of faith 
奥里基战役	Battle of Oriki 
中央军委联合作战指挥中心	Central Military Commission Joint Operations Command Center 
英国宇航	British Aerospace 
台上里	Taijo-ri 
艾佩克公司	Apec 
维也纳学派	Vienna School 
塞罗竞技俱乐部	Cerro Athletic Club 
增宫章子内亲王	Prince Zoumiya Zhangzi Nei 
影片分享网站	Video sharing site 
美国偶像_(第一季)	American Idol_ (Season One) 
高加索人种	Caucasian Ethnicity 
凌成兴	Ling Chengxing 
禾路迪高	Herruti 
经济统计学	Economic Statistics 
北京101中学	Beijing 101 Middle School 
麦迪逊_(印第安纳州)	Madison_ (Indiana) 
挛生地球	Spasm earth 
羽原信义	Habara Xinyi 
冰岛语学院	Icelandic Language Institute 
lamport面包店算法	lamport bakery algorithm 
北维吉尼亚军团	Northern Virginia Army 
中文流行音乐	Chinese pop music 
.ch	.h 
特尔斯达足球俱乐部	Telsda Football Club 
人类身高	Human height 
匹克威克外传	Pickwick Gaiden 
大清宝钞	Great Qing Treasures 
法国号	French Horn 
黑田清子	Sayako Kuroda 
美国国家数学研究所	National Institute of Mathematics 
高木彰人	Takagi Akira 
大野城市	Ono City 
新世纪福音战士	Evangelion 
伍咏诗	Wu Yongshi 
爱子内亲王	Prince within Aiko 
上小阿仁村	Kamikoani Village 
台湾原住民族	Taiwan Indigenous Peoples 
菲律宾足球协会	Philippine Football Association 
剑桥大学菲茨威廉学院	Fitzwilliam College, Cambridge University 
南京坤宁流体足球俱乐部	Nanjing Kunning Fluid Football Club 
格鲁吉亚国家科学院	National Academy of Sciences of Georgia 
爱民邨	Aimin Village 
2014–15年欧洲冠军联赛	2014-15 UEFA Champions League 
尤莉娅·季莫申科联盟	Union of Yulia Tymoshenko 
蝙蝠侠群英会	Batman Heroes Club 
德黑兰市议会	Tehran City Council 
村山贮水池	Murayama Reservoir 
教宗列表	Pope list 
塔图因	Tatooine 
巴尔的摩子弹	Baltimore Bullet 
内卡蒂·塔坎	Nekati Takan 
视频编码	Video encoding 
水沼宏太	Kota Mizunuma 
醒吾科技大学	Xingwu University of Science and Technology 
黎雅伦	Li Yalun 
奥克兰国际机场	Oakland International Airport 
圣恭皇后	Queen Saint Christine 
虐杀原形	Prototype 
多米尼加中央银行	Central Bank of Dominica 
维兰柯	Vilanco 
英属印度洋领地专员	Commissioner for British Indian Ocean Territory 
金亨植	Kim Hyung Sik 
筑地俊彦	Toshihiko Tsukiji 
大议会	Great Council 
哈瓦那主教座堂	Havana Cathedral 
郑光荣	Zheng Guangrong 
第二次车臣战争	Second Chechen War 
仁武里	Ren buri 
贺龙体育文化中心	He Long Sports Cultural Center 
克拉伦斯和阿文代尔公爵	Clarence and the Duke of Avondale 
中国人民武装警察部队	Chinese People's Armed Police Force 
t.i.	t.i. 
法国历史	French history 
file:明熹宗像.jpg	file: Munemune statue.jpg 
孝靖太后	Queen Mother Xiaojing 
台语拼音对照表	Taiwanese Pinyin Comparison Table 
野村直辉	Nomura Naoki 
临时政府	Provisional Government 
街坊工友服务处	Neighbourhood Worker Service Office 
nba太平洋赛区	NBA Pacific Division 
努儿·宾特·亚森公主	Princess Noor Bint Yasen 
上尾野边惠	Kamionobe Megumi 
邓燕娥	Deng Yan'e 
富士川町	Fujikawa Town 
唐纳德_(英国驻华大使)	Donald_ (British Ambassador to China) 
新英格兰大学	University of New England 
东京都交通局	Tokyo Metropolitan Bureau of Transportation 
澳大利亚反对党领袖	Leader of the Australian Opposition 
民国纪年	Chronicle of the Republic of China 
进步球场	Progressive Stadium 
超级联盟	Super League 
本桥由香	Yuka Motohashi 
西南德文_(英国议会选区)	Southwest German_(British parliamentary district) 
奥凯航空	Okay Airways 
化学动力学	Chemical kinetics 
古巴爵士乐	Cuban Jazz 
德国哲学家	German philosopher 
多明尼加摇滚	Dominican Rock 
真夜中的纯洁	The purity in the night 
黑森与莱茵公主约翰娜	Hesse and the Rhine Princess Johanna 
俄属远东	Russian Far East 
瑠璃光寺	Ruriko Temple 
斯宾塞·卡文迪许，第八代德文郡公爵	Spencer Cavendish, 8th Duke of Devonshire 
西斯宁缘区政府	Sisnin Border District Government 
巴斯克维尔猎犬	Baskerville Hound 
巴颜喀拉山脉	Bayan Har Mountains 
潘南朴氏	Pan Nam Park 
英国雷诺方程式锦标赛	British Formula Renault Championship 
笹川尧	Sasakawa Yao 
ghosttown_(madonna_song)	ghosttown(madonna song) 
西本浩子	Hiroko Nishimoto 
尖山里	Jianshanli 
艾亚克辛亚侯达	Ayaksin Yahouda 
费利克斯-波莱特球场	Felix-Poulet Stadium 
驸马长江大桥	Luma Yangtze River Bridge 
贞显王后	Queen Jeonghyun 
诚孝昭皇后	Empress Cheng Xiaozhao 
新兵日记	Recruit Diary 
现代石油银行	Hyundai Petroleum Bank 
阿尔达比勒省省长	Governor of Ardabil Province 
美国国徽	U.S. National Emblem 
菲律宾电话号码	Philippines phone number 
九家之书	Book of Jiujia 
马其顿国王	King of Macedonia 
明德学院	Mingde College 
巴西黑黄檀	Brazilian Dalbergia 
你就是希望	You just hope 
刘喆莹	Liu Zheying 
湖南广播电视台	Hunan Radio and Television Station 
王大文	Wang Dawen 
南通古斯语支	Nantong Gusi Branch 
权纯泰	Quan Chuntai 
湖北华创	Hubei Huachuang 
印度外交部	Ministry of Foreign Affairs of India 
紫外灾变	UV catastrophe 
j·c·c·戴维斯，第一代戴维斯子爵	j·c·c·Davis, the first Viscount Davis 
皇家瓦希格都足球俱乐部	Royal Wahigadu Football Club 
丹江	Danjiang 
邓庆林	Deng Qinglin 
黄健庭	Huang Ken Garden 
沙夫豪森足球俱乐部	Schaffhausen Football Club 
公众有限公司	Public limited company 
2012/13赛季欧洲冠军联赛	2012/13 season UEFA Champions League 
威廉明娜公主_（普鲁士）	Princess Wilhelmina_ (Prussia) 
积极的斯洛文尼亚	Active Slovenia 
福利经济学基本定理	Fundamental Theorems of Welfare Economics 
天文期刊	Astronomical Journal 
塞浦路斯乙组足球联赛	Cyprus Group B Football League 
岸祐二	Yuji Kishi 
侦探小说	Detective story 
樱田和树	Sakurada Kazuki 
鲍德熹	Bao Dexi 
黑塔i_最后的枪客	Dark Tower i_ The Last Gunner 
松平赖之	Satoshi Matsudaira 
伊比鸠鲁学派	Epicurean School 
东伊朗次语支	East Iranian sub-language branch 
伯利兹总理	Prime Minister of Belize 
德意志非洲军	German African Army 
斐济储备银行	Reserve Bank of Fiji 
日本百合	Japanese lily 
蓝草音乐	Bluegrass Music 
大高忍	Otaka Shinobu 
信义_(电视剧)	Xinyi_(TV series) 
唱片制作	Record production 
伍代参平	Sanpei Godai 
辽宁青年队	Liaoning Youth Team 
.ru	.Such as 
葛珮帆	Ge Peifan 
华伦西亚马斯泰拿	Valencia Masters 
宏池会_(古贺派)	Hongchihui_(Guhe School) 
塔希提足球总会	Tahitian Football Association 
多纪皇女	Princess Taki 
莫斯科战役	Battle of Moscow 
爱迪生_(新泽西州)	Edison_ (New Jersey) 
叶问_(电视剧)	Ip Man_(TV series) 
第七感_(张靓颖专辑)	Seventh Sense_ (Zhang Jingying Album) 
自然主义文学	Naturalistic literature 
中国音乐学院	China Conservatory of Music 
单方面宣布独立	Unilateral declaration of independence 
安陵_(阮朝)	An Ling_(Nguyen Dynasty) 
贝尔格莱德围城战_(1456年)	Siege of Belgrade_ (1456) 
协调世界时	Coordinated Universal Time 
东大门运动场	Dongdaemun Stadium 
欢瑞世纪	Huan Rui Century 
华英中学	Huaying Middle School 
克罗地亚国会	Croatian Parliament 
菲尔兹奖	Fields Medal 
土岐田洸平	Kohei Tokita 
天后之战	Battle of the Queens 
左轮丝绒	Revolver Velvet 
乔治亚公民联盟	Georgia Citizens League 
兴化平话字	Xinghua Pinghua Characters 
印第安纳州各市镇列表	List of municipalities in Indiana 
美国副国务卿	United States Deputy Secretary of State 
韩国天主教大学	Catholic University of Korea 
隧道视觉	Tunnel vision 
恭嫔崔氏	Christine Choi 
萨克森-科堡	Saxony-Coburg 
费迪南七世	Ferdinand VII 
中央人民政府高等教育部	Ministry of Higher Education of the Central People's Government 
中信资本	CITIC Capital 
联邦陆军	Federal army 
若昂皮涅鲁	Joao Pinheiro 
罗伊特林根足球俱乐部	Reutlingen Football Club 
victor娱乐	victor entertainment 
西乡隆盛	Xixiang Longsheng 
黎颖瑜	Li Yingyu 
犹太-叶门语	Jewish-Yemen 
哥伦比亚唱片公司	Columbia Records 
闵鹿蕾	Min Lulei 
灵圭和尚	Linggui monk 
自由放任	Laissez faire 
前770年代	770 years ago 
角宿里	Spica 
大连龙卷风足球俱乐部	Dalian Tornado Football Club 
大卫靴拔	David Bootstrap 
电子游戏历史_(第七世代)	Video game history_ (seventh generation) 
蜂鸟音乐	Hummingbird Music 
费利佩_(阿斯图里亚斯亲王)	Felipe_ (Prince of Asturias) 
wii平衡器	wii balancer 
对对碰	Bump 
菅沼实	Suganuma 
.nc	.nc 
空中突击	Air assault 
唐寅	Tang Yin 
小选区制	Small constituency 
查普特佩克战役	Battle of Chapultepec 
藤原殖子	Fujiwara 
大人情歌_(电视剧)	Love Songs for Adults_ (TV Series) 
印度国民军	Indian National Army 
小亚细亚字母	Asia Minor 
ecm唱片	ecm record 
比利时足球丙级联赛	Belgian Football League C 
记录的地平线	Recorded horizon 
沈振来	Shen Zhenlai 
lg电子	lg electronics 
国立中兴大学	National Chung Hsing University 
查尔斯·皮尔庞特，第二代曼弗斯伯爵	Charles Pierpont, second Earl of Manvers 
玄朱妮	Hyun Juni 
罗明_(央视副台长)	Luo Ming_(Deputy Director of CCTV) 
弗朗西丝卡·提森-博内米萨	Francesca Thyssen-Bornemisza 
石井圭太	Keita Ishii 
列宁奖	Lenin Prize 
国际足协球证	FIFA Football Card 
新墨西哥大学	University of New Mexico 
普鲁士公园	Prussian Park 
喜羊羊与灰太狼	Pleasant Goat and Big Big Wolf 
陈勇_(社会工作者)	Chen Yong_(Social Worker) 
中嶋悟	Satoru Nakajima 
李堈	Li Jie 
布兰达·黑尔_(里奇蒙德的黑尔女男爵)	Brenda Hale (Baroness Hale of Richmond) 
陆军元帅	Field Marshal 
博多南车站	Hakata South Station 
电视电影	TV movie 
君士坦丁二世	Constantine II 
四朵金花	Four golden flowers 
希尔德加德_(路易二世之女)	Hildegard_ (daughter of Louis II) 
库尔德语字母	Kurdish 
小阿格里皮娜	Little Agrippina 
美国夏威夷联邦地区法院	United States District Court of Hawaii 
法国省际列车	French interprovincial train 
东帝汶国防军	East Timor Defence Force 
维斯瓦河-奥德河攻势	Vistula-Oder Offensive 
法国元帅	Marshal of France 
戴季陶	Dai Jitao 
宾夕法尼亚州立大学尼塔尼雄狮队	Penn State University Nittany Lions 
高阆仙	Gao Langxian 
廖正豪	Liao Zhenghao 
黎辅陈	Li Fuchen 
香港印钞	Hong Kong Banknote Printing 
中华民国海军军官学校	Republic of China Naval Academy 
印度议会	Indian Parliament 
金星勋章	Gold Star Medal 
苏格兰足总杯	Scottish FA Cup 
下村宏	Shimomura Hiroshi 
摇滚歌剧	Rock opera 
军旅音乐	Military music 
第一书记	First secretary 
白天的星星	Stars during the day 
汪小敏	Wang Xiaomin 
北陆地方	Hokuriku place 
日野资康	Hino Yuyasu 
.ng	.ng 
bischofsmais	bischofsmais 
海河教育园足球场	Haihe Education Park Football Field 
埃塞尔斯坦_(肯特国王)	Ethelstein_ (King of Kent) 
内田小百合	Sayuri Uchida 
刘澜波	Liu Lanbo 
苏尔坦·本·阿卜杜勒-阿齐兹·阿勒沙特	Sultan Bin Abdul-Aziz Al Shat 
拉丁美洲政党联盟	Latin American Political Party Alliance 
酒井一圭	Sakai Kazue 
中国人民解放军军徽	Chinese People's Liberation Army Military Emblem 
中国北方与南方	North and South China 
赵静蓉	Zhao Jingrong 
2012年亚足联冠军联赛	2012 AFC Champions League 
ödemiş	paid 
美梅积	Mei Meiji 
pdp-11	PDP-11 
特热邦	Trebon 
青木干雄	Aoki Mikio 
功二级	Grade 2 
结城秀康	Hideyasu Yuki 
北卡罗来纳州立农业与理工大学	North Carolina State Agricultural and Technological University 
伊朗历	Iranian calendar 
国会山圆形大厅	Capitol Hill Rotunda 
新俄罗斯	New Russia 
花冠之泪	Tears of Corolla 
女子世界杯足球赛	Women's World Cup 
中国共产党第十七次全国代表大会	The 17th National Congress of the Communist Party of China 
坂口博信	Hironobu Sakaguchi 
蓝天工作室	Blue Sky Studio 
陈晓霖	Chen Xiaolin 
小奇兵	Little Rock 
埃利奥特·罗斯福一世	Elliott Roosevelt I 
裴晋勇	Pei Jinyong 
圣雷米教堂	Saint Remy Church 
长谷川博一	Hasegawa Hiroichi 
江天佑	Jiang Tianyou 
灵魂摇滚	Soul rock 
华约入侵捷克斯洛伐克	Warsaw Pact invades Czechoslovakia 
第二届夏赫里尔内阁	The 2nd Chahril Cabinet 
罗巴切夫斯基奖章	Lobachevsky Medal 
巴拉圭中央银行	Central Bank of Paraguay 
金日成竞技场	Kim Il Sung Arena 
端懿王后	Queen Duan Yi 
连续电视小说	Serial TV novel 
越-芒语支	Vietnamese-Mango 
虚拟机器	Virtual machine 
韦恩威斯巴登足球俱乐部	Wayne Wiesbaden Football Club 
国家首都区	National Capital Region 
甘地讷格尔	Gandhinagar 
摩达中心	Moda Center 
勒瓦卢瓦-佩雷	Levallois-Perret 
马德拉斯总督	Governor of Madras 
美法短暂冲突	Brief conflict between the United States and France 
template:美国财政部下属单位	template: A unit of the U.S. Department of the Treasury 
西南研究学会	Southwest Research Society 
秋田车辆中心	Akita Vehicle Center 
日本庭园	Japanese garden 
中央军事委员会审计署	Central Military Commission Audit Office 
永安公主	Princess Yongan 
同和会	Dowakai 
米底捷斯基球场	Medizeski Stadium 
苏玛雅·宾特·哈桑公主	Princess Sumaya Bint Hassan 
山梨县旗	Yamanashi flag 
mtv电影大奖	mtv movie awards 
庄妃_(嘉庆帝)	Princess Zhuang_(Jiaqing Emperor) 
柳原前光	Sakimitsu Yanagihara 
李柱益	Li Zhuyi 
荷兰历史	Dutch history 
持久自由行动	Operation Enduring Freedom 
楚科奇人	Chukchi 
.zm	.zm 
滨口雄幸	Osachi Hamaguchi 
荒木伸吾	Shingo Araki 
加齐普尔	Gazipur 
玛格丽塔公主_(帕尔马)	Princess Margarita_ (Parma) 
快乐快乐月刊	Happy Happy Monthly 
台湾闽南语	Taiwanese Hokkien 
机场第二航厦站	Airport Terminal 2 Station 
机械瞄具	Mechanical sight 
上萨瓦省	Haute-Savoie 
肯特的琼	Joan of Kent 
长沙南动车运用所	Changsha South Railway Station 
黎保德	Li Baode 
乔治·劳埃德，第一代劳埃德男爵	George Lloyd, the first Baron Lloyd 
八月革命	August Revolution 
利府町	Rifu Town 
贝乌哈图夫gks足球俱乐部	Beukhatov gks football club 
生活大爆炸_(第一季)	The Big Bang Theory_ (Season One) 
洋基体育场	Yankee Stadium 
秘密与谎言	Secrets and lies 
进步保守主义	Progressive conservatism 
铃木一智	Suzuki Kazuo 
库娜涅	Kunane 
金三角名校	Golden Triangle School 
日本唱片大奖	Japan Record Awards 
血色花园	Scarlet Garden 
佛得角足球协会	Cape Verde Football Association 
玛丽医院	Mary Hospital 
瓦尔德玛四世	Valdemar IV 
英格兰足球依斯米安联赛甲组北区	English Football Ismian League First Division North 
希腊城邦	Greek city state 
file:песня_хорста_весселя.ogg	file: песня_хорста_весселя.ogg 
电视广播（国际）	Television Broadcast (International) 
澳洲23岁以下国家足球队	Australia Under 23 National Football Team 
曾凤如	Zeng Fengru 
天国的嫁衣	Heavenly Wedding Dress 
德国西欧战区	German Western Europe Theater 
黎巴嫩行政区划	Administrative divisions of Lebanon 
御前大臣	Your Minister 
森下仁志	Hitoshi Morishita 
演员工作室	Actor studio 
巴西国家u17足球队	Brazil national u17 football team 
达高‧保素域	Daco 
关岛国家足球场	Guam National Football Stadium 
郭亮	Guo Liang 
公馆站	Gongguan Station 
曼殊院宫譲仁亲王	Prince Churen of Manshu Monastery 
天主教马塔加尔帕教区	Catholic Diocese of Matagalpa 
西维吉尼亚州众议院	West Virginia House of Representatives 
孟庆树	Meng Qingshu 
社会主义共和制	Socialist republic 
青岛黄海制药足球俱乐部	Qingdao Huanghai Pharmaceutical Football Club 
爱在记忆中找你	Love in the memory to find you 
九头龙川	Nine Dragons 
.ag	.ag 
bh娱乐	bh entertainment 
加拿大上议院	House of Lords of Canada 
维亚康姆_(1971–2005)	Viacom_ (1971–2005) 
amends	amends 
妇女及平等部长	Minister of women and equality 
上海虹桥国际机场	Shanghai Hongqiao International Airport 
妮姬和保罗	Nicky and Paul 
森田刚	Morita Go 
圣地亚哥-德智利	Santiago de Chile 
格拉德斯通_(昆士兰州)	Gladstone_ (Queensland) 
小野田英一	Eiichi Onoda 
资讯处理语言	Information processing language 
斯诺霍米什县_(华盛顿州)	Snohomish County_ (Washington State) 
地区地名查询系统	Regional place name query system 
韦恩县_(密歇根州)	Wayne County_ (Michigan) 
巴基斯坦西北部战争	War in Northwest Pakistan 
皮集蓬	Pichipong 
汤宝芳	Tang Baofang 
瑞士国民院	Swiss National Council 
拉贾·纳因戈兰	Raja Naingoran 
杜建时	Du Jianshi 
氛围浩室	Atmosphere house 
济南站	Jinan Railway Station 
布拉格捷克理工大学	Czech Technical University in Prague 
阿部正俊	Masatoshi Abe 
马尔堡大学	University of Marburg 
苏联共产党中央书记处	Central Secretariat of the Communist Party of the Soviet Union 
大勲位	Damenwei 
阿尔科尔孔	Alcorcon 
纽黑文市	New Haven City 
碧海潮生曲	Bihai Chaosheng Song 
奄美语	Amami 
朴次茅斯_(新罕布什尔州)	Portsmouth_ (New Hampshire) 
中村悠一	Yuichi Nakamura 
义大利足球总会	Italian Football Association 
潘演	Pan Yan 
赵志敬	Zhao Zhijing 
法荷战争	French-Dutch War 
和泉市	Izumi 
文献昭圣皇后	Literature Zhaosheng Queen 
小坪里	Xiaopingli 
欧洲之星（英国）有限公司	Eurostar (UK) Ltd 
武井択也	Takuya Takei 
面向过程程序设计	Process-oriented programming 
奥尔登堡大公国	Grand Duchy of Oldenburg 
他他拉氏	Tatarashi 
摇滚名人堂	Rock and Roll Hall of Fame 
弗里德里希·弗朗茨四世_(梅克伦堡-什未林)	Friedrich Franz IV (Mecklenburg-Schwerin) 
2016年中华民国立法委员选举	2016 election of legislators of the Republic of China 
前11世纪	11th century BC 
芝加哥蓝调	Chicago Blues 
桑乔·奥多尼斯一世	Sancho Odonis I 
查普尔特佩克城堡	Chapultepec Castle 
南非标准时间	South Africa Standard Time 
pc-dos	pc-two 
李相德	Li Xiangde 
矢岛由纪	Yajima Yuki 
堀河丰子	Toyoko Horikawa 
caribou唱片	caribou record 
马利亚_(耶稣的母亲)	Mary_(Mother of Jesus) 
古代哲学	Ancient philosophy 
坎特伯里_(新南威尔斯州)	Canterbury_ (New South Wales) 
桂柳话	Guiliu Dialect 
顶峰娱乐	Summit Entertainment 
普罗旺斯的玛格丽特	Marguerite of Provence 
列斐伏尔	Lefebvre 
上将_(皇家海军)	Admiral_ (Royal Navy) 
利特尔顿_(科罗拉多州)	Littleton_ (Colorado) 
安那考斯迪亚河	Anacostia 
亨利·查尔斯·基思·佩蒂-菲茨莫里斯，第五代兰斯当侯爵	Henry Charles Keith Petty-Fitzmorris, the fifth Marquis of Lansdowne 
黎晋才	Li Jincai 
美国战争部	United States Department of War 
威灵顿英文中学	Wellington English Secondary School 
塩田仁史	Hitoshi Shiota 
斐迪南一世_(神圣罗马帝国)	Ferdinand I_ (Holy Roman Empire) 
马来西亚华人公会	Malaysian Chinese Association 
十二月初九	December Nine 
教宗庇护八世	Pope Pius VIII 
韦永庚	Wei Yonggeng 
巴布亚新几内亚大学	University of Papua New Guinea 
牛津大学彭布罗克学院	Pembroke College, Oxford University 
花莲台开女子足球队	Hualien Taikai Women's Football Team 
福斯电视工作室	Fox TV Studio 
利比亚镑	Libyan Pound 
翡翠卫星台	Emerald Satellite Station 
邓莫尔勋爵之战	Battle of Lord Dunmore 
车田正美	Masami Che Tian 
拉瓦尔品第	Rawalpindi 
尤比克争取更好的匈牙利运动	Ubik strives for a better Hungary movement 
浦添极乐陵	Urasoe Mausoleum 
间嶋_佑弥	Majima_Yuya 
清川江战役	Battle of Qingchuan River 
韩鹏飞_(足球运动员)	Han Pengfei_ (football player) 
天津奥林匹克体育中心体育场	Tianjin Olympic Sports Center Stadium 
.mp	.mp 
后卫战役	Defender battle 
罗伯特·达西，第四代霍尔德内斯伯爵	Robert Darcy, the 4th Earl of Holderness 
原田开	Harada Kai 
司法辖区	Jurisdiction 
中国电信	China Telecom 
三笠宫	Mikasa Palace 
广岛与长崎原子弹爆炸	Hiroshima and Nagasaki atomic bombings 
神奇先生	Mr. Fantastic 
印度足球乙级联赛	Indian Football League 
青藏铁路公司	Qinghai-Tibet Railway Company 
自然哲学	Natural philosophy 
高松信司	Shinji Takamatsu 
欧洲迪士尼sca	Euro Disney sca 
阿拉米达县_(加利福尼亚州)	Alameda County_ (California) 
美洲解放者球场	Liberators of america 
许应深	Xu Yingshen 
缺宅男女	Homeless men and women 
六条天皇	Rokujo Emperor 
图林根的巴西娜	Basina of Thuringia 
奥萨苏纳竞技b队	Osasuna Athletic b team 
babaroga_(游戏公司)	babaroga_ (game company) 
航海体育场	Nautical Stadium 
李南星	Li Nanxing 
南部摇滚	Southern rock 
前206年	206 years ago 
kongstedlund	kongstedlund 
马尔他中央银行	Central Bank of Malta 
施人诚	Shi Rencheng 
葡萄牙18岁以下国家足球队	Portugal Under-18 National Football Team 
韩国流行	Korean pop 
班夫和布臣_(英国国会选区)	Banff and Bouchen_(British Parliamentary District) 
阿尔塞塔斯二世_(伊庇鲁斯)	Alsetas II_ (Epirus) 
李宪宰	Lee Hyun Jae 
banjarese	banjarese 
